id,type,x,y,z,slope,outgoing,drain,drainCoupledID,drainType,drainLength,drainWidth,n_Manning,yFull,area,width
41,STREET,823246.163882704,93163.8843489649,32.3088,0.0097547155807722,230,0,-1,P-50x100,0.818,0.415,0.013,0.3197,0,0
42,STREET,823560.891053251,93213.3327500712,30.7848,0.0228920072156851,150,0,-1,P-50x100,0.818,0.415,0.013,0.3197,0,0
43,STREET,823230.078164013,93269.250966725,32.6136,0.0068887625163004,44,0,-1,P-50x100,0.818,0.415,0.013,0.3197,0,0
44,STREET,823296.544381944,93327.6724213915,32.004,0.0138684529901832,56,0,-1,P-50x100,0.818,0.415,0.013,0.3197,0,0
45,STREET,823356.279762471,93262.4626518092,32.6136,0.0139001793318351,39,0,-1,P-50x100,0.818,0.415,0.013,0.3197,0,0
46,STREET,823479.28111647,93305.9949647445,32.9184,0.0237400477441656,48,0,-1,P-50x100,0.818,0.415,0.013,0.3197,0,0
47,STREET,823445.292584447,93342.420291892,33.2232,0.0061780384499621,65,0,-1,P-50x100,0.818,0.415,0.013,0.3197,0,0
48,STREET,823504.609965811,93276.9773227812,32.004,0.0143502915923883,42,0,-1,P-50x100,0.818,0.415,0.013,0.3197,0,0
49,STREET,823577.785119462,93341.9138929056,32.6136,0.0082181938022266,50,0,-1,P-50x100,0.818,0.415,0.013,0.3197,0,0
50,STREET,823630.89031325,93393.7023893291,32.004,0.0053441250162785,53,0,-1,P-50x100,0.818,0.415,0.013,0.3197,0,0
51,STREET,823658.05615892,93414.7272472789,32.3088,0.0260024743134657,53,0,-1,P-50x100,0.818,0.415,0.013,0.3197,0,0
52,STREET,823670.598433833,93420.0989365346,32.3088,0.0616025273960223,53,0,-1,P-50x100,0.818,0.415,0.013,0.3197,0,0
53,STREET,823680.252014525,93422.2745321861,31.6992,0.0389131677687453,252,0,-1,P-50x100,0.818,0.415,0.013,0.3197,0,0
54,STREET,823689.762395505,93420.6688353968,31.6992,0.0475625382945707,252,0,-1,P-50x100,0.818,0.415,0.013,0.3197,0,0
55,STREET,823698.129878772,93417.363042007,31.6992,0.0608104029805638,252,0,-1,P-50x100,0.818,0.415,0.013,0.3197,0,0
56,STREET,823239.987395057,93394.9760867839,30.7848,0.0024602502247498,300,0,-1,P-50x100,0.818,0.415,0.013,0.3197,0,0
57,STREET,823607.221560585,93487.3085021156,32.3088,0.0031568438057579,50,0,-1,P-50x100,0.818,0.415,0.013,0.3197,0,0
58,STREET,823635.26322719,93511.9998547574,32.6136,0.0081577909251077,57,0,-1,P-50x100,0.818,0.415,0.013,0.3197,0,0
59,STREET,823710.177554673,93407.8349610632,31.6992,0.122052492448283,252,0,-1,P-50x100,0.818,0.415,0.013,0.3197,0,0
60,STREET,823745.117684794,93454.0850685634,31.6992,0.0383290587811709,216,0,-1,P-50x100,0.818,0.415,0.013,0.3197,0,0
61,STREET,823766.163342705,93477.9392208538,30.48,0.0064362826471636,252,0,-1,P-50x100,0.818,0.415,0.013,0.3197,0,0
62,STREET,823421.864631301,93439.4775977779,32.3088,0.0138834119689787,63,0,-1,P-50x100,0.818,0.415,0.013,0.3197,0,0
63,STREET,823364.645545742,93506.094464544,31.0896,0.0049339303608194,295,0,-1,P-50x100,0.818,0.415,0.013,0.3197,0,0
