id,type,x,y,z,slope,outgoing,drain,drainCoupledID,drainType,drainLength,drainWidth,n_Manning,yFull,area,width
55,STREET,823698.130,93417.363,31.6992,0.060810,252,0,-1,P-50x100,0.818,0.415,0.013,0.3197,0.0000,0.00
56,STREET,823239.987,93394.976,30.7848,0.002460,300,1,364,P-50x100,0.818,0.415,0.013,0.3197,0.0000,0.00
57,STREET,823607.222,93487.309,32.3088,0.003157,50,1,428,P-50x100,0.818,0.415,0.013,0.3197,0.0000,0.00
58,STREET,823635.263,93512.000,32.6136,0.008158,57,1,610,P-50x100,0.818,0.415,0.013,0.3197,0.0000,0.00
59,STREET,823710.178,93407.835,31.6992,0.122052,252,0,-1,P-50x100,0.818,0.415,0.013,0.3197,0.0000,0.00
60,STREET,823745.118,93454.085,31.6992,0.038329,216,1,507,P-50x100,0.818,0.415,0.013,0.3197,0.0000,0.00
61,STREET,823766.163,93477.939,30.4800,0.006436,252,1,507,P-50x100,0.818,0.415,0.013,0.3197,0.0000,0.00
62,STREET,823421.865,93439.478,32.3088,0.013883,63,1,520,P-50x100,0.818,0.415,0.013,0.3197,0.0000,0.00
63,STREET,823364.646,93506.094,31.0896,0.004934,295,1,516,P-50x100,0.818,0.415,0.013,0.3197,0.0000,0.00
64,STREET,823376.522,93516.504,31.0896,0.003991,295,0,-1,P-50x100,0.818,0.415,0.013,0.3197,0.0000,0.00
65,STREET,823481.993,93375.392,32.9184,0.006937,62,0,-1,P-50x100,0.818,0.415,0.013,0.3197,0.0000,0.00
66,STREET,824237.648,92479.844,34.4424,0.020465,69,1,505,P-50x100,0.818,0.415,0.013,0.3197,0.0000,0.00
67,STREET,824244.237,92504.966,34.4424,0.021841,76,1,505,P-50x100,0.818,0.415,0.013,0.3197,0.0000,0.00
68,STREET,824146.497,92481.115,32.9184,0.009672,218,1,525,P-50x100,0.818,0.415,0.013,0.3197,0.0000,0.00
69,STREET,824173.681,92517.970,32.9184,0.010007,218,1,525,P-50x100,0.818,0.415,0.013,0.3197,0.0000,0.00
70,STREET,823594.509,92488.810,32.3088,0.009921,262,1,527,P-50x100,0.818,0.415,0.013,0.3197,0.0000,0.00
71,STREET,824704.751,92473.332,34.7472,0.005790,212,0,-1,P-50x100,0.818,0.415,0.013,0.3197,0.0000,0.00
72,STREET,823812.590,92485.770,32.0040,0.011426,220,0,-1,P-50x100,0.818,0.415,0.013,0.3197,0.0000,0.00
73,STREET,824370.692,92477.989,34.1376,0.015994,85,0,-1,P-50x100,0.818,0.415,0.013,0.3197,0.0000,0.00
74,STREET,823659.446,92487.905,32.3088,0.004513,235,1,458,P-50x100,0.818,0.415,0.013,0.3197,0.0000,0.00
75,STREET,824601.983,92512.510,33.8328,0.009836,3,1,512,P-50x100,0.818,0.415,0.013,0.3197,0.0000,0.00
